Model,Recall,Accuracy,Precision,F1-Score,AUC-ROC
NeuralNetTorch_r1_BAG_L1,0.6236559139784946,0.75,0.58,0.6010362694300518,0.8018004501125282
NeuralNetTorch_r22_BAG_L1,0.6236559139784946,0.7597402597402597,0.5979381443298969,0.6105263157894737,0.7998999749937485
NeuralNetTorch_r135_BAG_L1,0.6881720430107527,0.7597402597402597,0.5871559633027523,0.6336633663366337,0.7990497624406101
NeuralNetFastAI_r37_BAG_L1,0.6344086021505376,0.75,0.5784313725490197,0.6051282051282051,0.7979994998749689
NeuralNetFastAI_r194_BAG_L1,0.6129032258064516,0.7402597402597403,0.5643564356435643,0.5876288659793815,0.7967491872968242
NeuralNetFastAI_r95_BAG_L1,0.6129032258064516,0.7305194805194806,0.5480769230769231,0.5786802030456852,0.795648912228057
NeuralNetFastAI_r145_BAG_L1,0.6129032258064516,0.7402597402597403,0.5643564356435643,0.5876288659793815,0.7952488122030508
NeuralNetTorch_r79_BAG_L1,0.6236559139784946,0.7467532467532467,0.5742574257425742,0.5979381443298969,0.7949987496874219
NeuralNetFastAI_r138_BAG_L1,0.6451612903225806,0.7532467532467533,0.5825242718446602,0.6122448979591837,0.7947986996749187
NeuralNetFastAI_r103_BAG_L1,0.6236559139784946,0.7435064935064936,0.5686274509803921,0.5948717948717949,0.7914978744686172
NeuralNetFastAI_r191_BAG_L1,0.6236559139784946,0.7402597402597403,0.5631067961165048,0.5918367346938775,0.7901475368842211
NeuralNetFastAI_r127_BAG_L1,0.6129032258064516,0.7532467532467533,0.5876288659793815,0.6,0.7894973743435859
NeuralNetFastAI_r69_BAG_L1,0.6129032258064516,0.7402597402597403,0.5643564356435643,0.5876288659793815,0.788097024256064
NeuralNetFastAI_BAG_L1,0.6129032258064516,0.7467532467532467,0.5757575757575758,0.59375,0.7835458864716178
KNeighborsDist_BAG_L1,0.6559139784946236,0.6753246753246753,0.4728682170542636,0.5495495495495496,0.6895473868467117
KNeighborsUnif_BAG_L1,0.6559139784946236,0.672077922077922,0.46923076923076923,0.547085201793722,0.6893973493373344
NeuralNetFastAI_r156_BAG_L1,0.8817204301075269,0.4090909090909091,0.3241106719367589,0.47398843930635837,0.5739934983745937
NeuralNetFastAI_r65_BAG_L1,0.8602150537634409,0.41883116883116883,0.3252032520325203,0.471976401179941,0.554688672168042
